;Longitude;Latitude;Esri_label;Corine_label;hfi
124;24.7406323542911;58.5097134943377;Trees;Mixed forest;3
125;27.648957924186;59.1716897973205;Trees;Mixed forest;1
126;24.8503027502464;58.8240822839246;Trees;Coniferous forest;4
127;26.5684762430906;58.6213359559846;Trees;Mixed forest;26
128;26.8953300890385;57.7929685156014;Trees;Coniferous forest;12
129;25.1264176747027;57.9781690273806;Trees;Coniferous forest;13
130;22.4795983226992;57.7242862419171;Trees;Coniferous forest;11
131;25.015717061167;58.5176251247422;Trees;Mixed forest;3
132;26.0268619263161;57.5880887758205;Trees;Broad-leaved forest;2
133;25.5389057096597;58.0363659958017;Trees;Coniferous forest;7
134;22.1963350057381;58.0637904121604;Trees;Broad-leaved forest;12
135;25.7352376654992;57.5727591570125;Trees;Coniferous forest;18
136;25.2129651034148;58.8357538134518;Rangeland;Mixed forest;10
137;24.7889976236853;58.2393894405814;Trees;Coniferous forest;1
138;25.4687503817316;59.006081166062;Trees;Mixed forest;3
139;26.258369738191;58.5840294400385;Trees;Mixed forest;6
140;26.8876585444474;59.3263107099225;Rangeland;Coniferous forest;8
141;26.065413800478;57.7140642494767;Trees;Coniferous forest;3
142;25.7855642256998;57.8262948573082;Trees;Mixed forest;10
143;24.2359017919846;58.9612212536081;Trees;Mixed forest;4
144;26.4525091055125;57.7449439770147;Trees;Mixed forest;3
145;26.4134434551164;59.0138278560289;Trees;Coniferous forest;10
146;27.1349438850126;57.6140580545076;Trees;Mixed forest;10
147;22.0038853217401;58.3930535771006;Rangeland;Coniferous forest;5
148;25.8760958964283;57.6341495403953;Trees;Coniferous forest;4
149;25.9844897629781;58.7789639611984;Trees;Coniferous forest;2
150;27.7561965959663;59.3436829023815;Rangeland;Broad-leaved forest;7
151;22.1310011582139;58.2922866651575;Trees;Coniferous forest;6
152;24.6445915096486;58.9548169450408;Trees;Coniferous forest;3
153;22.8009219093917;58.828331684087;Trees;Mixed forest;14
154;24.8755654217899;59.1983509329424;Trees;Mixed forest;10
155;22.1240588639203;58.4688770322081;Trees;Coniferous forest;4
156;24.9016885545499;58.2423399165564;Trees;Coniferous forest;2
157;26.2515624641558;58.0123951934204;Trees;Mixed forest;26
158;25.1060294422762;58.2356356973453;Trees;Coniferous forest;6
159;25.2611791778951;59.4276734768284;Trees;Coniferous forest;8
160;24.6356740618906;57.5581854871269;Trees;Mixed forest;3
161;22.6522910327851;58.4533918386532;Trees;Broad-leaved forest;3
162;24.3569193550469;58.8446190618379;Trees;Broad-leaved forest;2
163;24.2540445444929;58.299521289561;Rangeland;Coniferous forest;8
164;26.5071100186993;58.8217388804222;Trees;Coniferous forest;7
165;26.2565543263038;58.8153147390198;Trees;Mixed forest;11
166;26.7217331946745;59.0809013149176;Trees;Coniferous forest;2
167;24.6614875641185;58.8057656589612;Trees;Broad-leaved forest;2
168;25.9845613547574;57.6444928840763;Trees;Coniferous forest;10
169;26.7764074964985;57.7498352234268;Rangeland;Coniferous forest;11
170;24.2631052497012;58.309307451569;Trees;Broad-leaved forest;11
171;25.7721547554387;58.911333176773;Trees;Broad-leaved forest;10
172;24.7281995243495;58.8491049231168;Trees;Coniferous forest;3
173;22.7821991771807;58.4135035266515;Trees;Coniferous forest;11
174;26.9030496439119;58.6991360415532;Trees;Mixed forest;2
175;26.0835201261563;59.5039838600273;Trees;Mixed forest;3
176;26.9886703893332;59.120159239143;Trees;Mixed forest;2
177;22.434691856524;58.4435594694894;Trees;Mixed forest;11
178;22.1659907838257;57.6461984538477;Trees;Mixed forest;128
179;26.0109498938462;59.5997667679442;Trees;Coniferous forest;6
180;27.2523439251936;57.7984633156939;Trees;Mixed forest;3
181;27.3736659857115;57.8179152752713;Trees;Mixed forest;11
